Business Name,Profile,Catagories,Phone Number,Address,Rating,Reviews
Rodic Davidson Architects,https://www.yell.com/biz/rodic-davidson-architects-london-10093371/,Architects,020 7043 3551,"66a Great Russell St, London, WC1B 3BN",not available,not available
Gollifer Langston Architects,https://www.yell.com/biz/gollifer-langston-architects-london-3629649/,Architects,020 7734 2134,"25-26 Poland St, London, W1F 8QN",not available,not available
Gaunt Francis Architects,https://www.yell.com/biz/gaunt-francis-architects-london-4896070/,Architects,020 7629 3993,"31 Southampton Row, London, WC1B 5HJ",not available,not available
Rock Townsend Architects LLP,https://www.yell.com/biz/rock-townsend-architects-llp-london-5058494/,Architects,020 7261 9577,"The Old School Exton St, London, SE1 8UE",not available,not available
Prime Meridian Ltd,https://www.yell.com/biz/prime-meridian-ltd-london-3228060/,Architects,020 7494 3522,"2nd floor, 26a, Ganton St, London, W1F 7QZ",not available,not available
Studio Cullinan & Buck Architects Limited - Scabal,https://www.yell.com/biz/studio-cullinan-and-buck-architects-limited-scabal-london-4777549/,Architects,020 7033 8788,"193 Fleet St, London, EC4A 2AH",not available,not available
Jefferson Sheard Architects,https://www.yell.com/biz/jefferson-sheard-architects-london-5976364/,Architects,0114 276 1651,"10 Margaret St, London, W1W 8RL",not available,not available
Cayford Design,https://www.yell.com/biz/cayford-design-london-10255897/,Architects,07900 906020,"28 Poland St, London, W1F 8QP",not available,not available
Rodic Davidson Architects,https://www.yell.com/biz/rodic-davidson-architects-london-9787606/,Architects,020 7043 3551,"66A Great Russell Street, Bloomsbury, LONDON, WC1B 3BN",not available,not available
David Roden Architects Ltd,https://www.yell.com/biz/david-roden-architects-ltd-london-8797357/,Architects,020 3282 7119,"203 Westminster Bridge Rd, London, SE1 7FR",not available,not available
Glancy Nicholls Architects,https://www.yell.com/biz/glancy-nicholls-architects-london-8754744/,Architects,020 3727 5252,"26- 27 Bedford Square, London, WC1B 3HP",not available,not available
Burlington Gate Mayfair,https://www.yell.com/biz/burlington-gate-mayfair-london-9624922/,Property Development,020 7758 3188,"25 Cork St, London, W1S 3NB",not available,not available
Spparc,https://www.yell.com/biz/spparc-london-8094658/,Architects,020 7734 4100,"10 Bayley St, London, WC1B 3HB",not available,not available
3 D Reid,https://www.yell.com/biz/3-d-reid-london-8203088/,Architects,0345 271 6100,"Ramillies Buildings, 1-9, Hills Place, London, W1F 7SA",not available,not available
R.J Lattimore & Associates,https://www.yell.com/biz/r-j-lattimore-and-associates-london-317167/,Architects,020 7242 8180,"5/63a Great Russell St, London, WC1B 3BJ",not available,not available
Domonic Payte,https://www.yell.com/biz/domonic-payte-london-901758323/,Architects,020 7760 7566,"14 Hanover Square, LONDON, W1S 1HN",5.0,not available
Tony Fretton Architects,https://www.yell.com/biz/tony-fretton-architects-london-4689054/,Architects,020 7284 2000,"21 Berners St, London, W1T 3LP",not available,not available
Thor Architects,https://www.yell.com/biz/thor-architects-london-9064683/,Architects,020 7043 2303,"28a Lower Marsh, London, SE1 7RG",not available,not available
McCusker Storey McIntosh Architects Ltd,https://www.yell.com/biz/mccusker-storey-mcintosh-architects-ltd-london-4397768/,Architects,020 7928 6767,"The Old School Exton St, London, SE1 8UE",not available,not available
Tetrick Planning Ltd,https://www.yell.com/biz/tetrick-planning-ltd-london-10435990/,Planning Consultants,07763 430530,"203 Westminster Bridge Rd, London, SE1 7FR",not available,not available
KTB Ltd,https://www.yell.com/biz/ktb-ltd-london-9853726/,Architects,020 7207 4903,"15 Theed St, London, SE1 8ST",not available,not available
Dyer,https://www.yell.com/biz/dyer-london-7123776/,Architects,0845 450 5588,"Bridge House, 63-65, North Wharf Rd, London, W2 1LA",not available,not available
Michael Drain Architects Ltd,https://www.yell.com/biz/michael-drain-architects-ltd-london-3770399/,Architects,020 7580 1415,"London Maid House, 11-13, Market Place, London, W1W 8AH",not available,not available
Marek Wojciechowski Architects Ltd,https://www.yell.com/biz/marek-wojciechowski-architects-ltd-london-8415315/,Architects,020 7580 9336,"66-68 Margaret St, London, W1W 8SR",not available,not available
Roz Barr Architects,https://www.yell.com/biz/roz-barr-architects-london-8898603/,Architects,020 7253 5336,"26 Store St, London, WC1E 7BT",not available,not available
Stories by Shabnam Noor,https://www.yell.com/biz/stories-by-shabnam-noor-london-9572871/,Architects,020 8323 2494,"203 Westminster Bridge Rd, London, SE1 7FR",not available,not available
Bowen Architects,https://www.yell.com/biz/bowen-architects-london-8765909/,Architects,020 7625 5373,"The Building Centre, 26, Store St, London, WC1E 7BT",not available,not available
Von X Architects,https://www.yell.com/biz/von-x-architects-london-9929598/,Architects,020 3369 1388,"85 Great Portland St, London, W1W 7LT",not available,not available
H K S Architects,https://www.yell.com/biz/h-k-s-architects-london-6195829/,Architects,020 7292 9494,"Elsley House, 24-30 Great Titchfield St, London, W1W 8BF",not available,not available
Abell Nepp,https://www.yell.com/biz/abell-nepp-london-9189882/,Architects,020 7612 1583,"74 Margaret St, London, W1W 8ST",not available,not available
Archcore Architects,https://www.yell.com/biz/archcore-architects-london-9990055/,Architects,020 8638 5954,"85 Great Portland St, London, W1W 7LT",not available,not available
Niche Architects LLP,https://www.yell.com/biz/niche-architects-llp-london-6010885/,Architects,020 7222 3232,"79 Great Peter St, London, SW1P 2EZ",not available,not available
South Bank Architects,https://www.yell.com/biz/south-bank-architects-london-380749/,Architects,020 7928 6144,"28a Lower Marsh, London, SE1 7RG",not available,not available
MacAusland Design Ltd,https://www.yell.com/biz/macausland-design-ltd-london-9900108/,Architects,020 3008 8866,"23 Berkeley Square, London, W1J 6HE",not available,not available
Chapman Partnership Architects,https://www.yell.com/biz/chapman-partnership-architects-london-10261121/,Architects,020 4568 5139,not available,not available,not available
Whittam Cox Architects,https://www.yell.com/biz/whittam-cox-architects-london-4684443/,Architects,020 3388 0019,"Staple Inn Buildings, London, WC1V 7PZ",not available,not available
Tectomic Ltd,https://www.yell.com/biz/tectomic-ltd-london-8037349/,Architects,020 8580 1531,"27 Old Gloucester St, London, WC1N 3AX",not available,not available
Feilden Fowles Architects,https://www.yell.com/biz/feilden-fowles-architects-london-7141365/,Architectural Services,020 7033 4594,"8 Royal St, London, SE1 7LL",not available,not available
Manor Property Developments Ltd,https://www.yell.com/biz/manor-property-developments-ltd-london-5886074/,Property Development,020 7267 6003,"35 Percy St, London, W1T 2DQ",1.0,not available
H K R Architects,https://www.yell.com/biz/h-k-r-architects-london-8422350/,Architects,020 7096 9072,"55-57 High Holborn, London, WC1V 6DX",not available,not available
J M Architects,https://www.yell.com/biz/j-m-architects-london-2927557/,Architects,020 7580 5330,"2nd Floor 37 Alfred Place, London, WC1E 7DP",not available,not available
Urban Infill,https://www.yell.com/biz/urban-infill-london-8704839/,Architects,020 3870 7262,"33 Newman St, London, W1T 1PY",not available,not available
Alma-Nac Collaborative Architecture LLP,https://www.yell.com/biz/alma-nac-collaborative-architecture-llp-london-8544247/,Architects,020 7928 2092,"Waterloo Court, 10, Theed St, London, SE1 8ST",not available,not available
A C A Architects,https://www.yell.com/biz/a-c-a-architects-london-6750413/,Architects,020 7428 0555,"40 Mortimer St, London, W1W 7RQ",not available,not available
Open Architecture (London) Ltd,https://www.yell.com/biz/open-architecture-london-ltd-london-3074072/,Architects,020 3405 2955,"10 Furnival St, Holborn, London, EC4A 1AB",not available,not available
Trehearne Architects,https://www.yell.com/biz/trehearne-architects-london-6286204/,Architects,020 7421 1790,"33 High Holborn, London, WC1V 6AX",not available,not available
B P R Architects,https://www.yell.com/biz/b-p-r-architects-london-5904095/,Architects,020 8785 9983,"1-2 Paris Garden, London, SE1 8ND",not available,not available
Inglis Badrashi Loddo,https://www.yell.com/biz/inglis-badrashi-loddo-london-4539097/,Architects,020 7580 8808,"11 Wells Mews, London, W1T 3HD",not available,not available
Madigan Browne Architects,https://www.yell.com/biz/madigan-browne-architects-london-6883652/,Architects,020 7036 6290,"63 Grosvenor St, London, W1K 3JG",not available,not available
Louis De Soissons,https://www.yell.com/biz/louis-de-soissons-london-9917299/,Architects,0333 234 1648,"Oriel Buildings, 10, Margaret St, London, W1W 8RL",not available,not available
Probyn Miers Ltd,https://www.yell.com/biz/probyn-miers-ltd-london-5050580/,Architects,020 7583 2244,"1 Temple Avenue, London, EC4Y 0HA",not available,not available
BSC Ltd,https://www.yell.com/biz/bsc-ltd-london-4965003/,Architects,0845 6860036,"27 Old Gloucester St, London, WC1N 3AF",not available,not available
Ferris Architectural Designers Ltd,https://www.yell.com/biz/ferris-architectural-designers-ltd-london-901737139/,Architectural Services,07400 282280,"5th floor, 167-169, Great Portland St, London, W1W 5PF",5.0,not available
Gabor Gallov Architect,https://www.yell.com/biz/gabor-gallov-architect-london-6483281/,Architects,020 7580 3552,"25 Goodge Place, London, W1T 4SP",not available,not available
Falconer Chester Hall,https://www.yell.com/biz/falconer-chester-hall-london-8250370/,Architects,020 3137 7393,"55-57 High Holborn, London, WC1V 6DX",not available,not available
Studio Carver Ltd,https://www.yell.com/biz/studio-carver-ltd-london-8419298/,Architects,020 7096 1257,"37 Alfred Place, London, WC1E 7DP",not available,not available
Corstorphine & Wright,https://www.yell.com/biz/corstorphine-and-wright-london-3589935/,Architects,020 7842 0820,"1 Mortimer St, London, W1T 3JA",not available,not available
Softroom Ltd,https://www.yell.com/biz/softroom-ltd-london-8361041/,Architects,020 3597 6888,"Office 1-2, 3, Murphy St, London, SE1 7FP",not available,not available
Outpost,https://www.yell.com/biz/outpost-london-8797321/,Architects,020 7928 2481,"20 Carlisle Lane, London, SE1 7LG",not available,not available
Burrows Cave International,https://www.yell.com/biz/burrows-cave-international-london-5601112/,Architects,020 7906 6644,"6 Little Portland St, London, W1W 7JB",not available,not available
Francis Architects Ltd,https://www.yell.com/biz/francis-architects-ltd-london-7498186/,Architects,020 3411 4686,"40 Great Portland St, London, W1W 7LZ",not available,not available
SKM Architects Ltd,https://www.yell.com/biz/skm-architects-ltd-london-9290484/,Architects,020 3633 0829,"Radiant House, 36-38, Mortimer St, London, W1W 7RG",not available,not available
David Walker Architects Ltd,https://www.yell.com/biz/david-walker-architects-ltd-london-3171127/,Architects,020 7631 0523,"39 Great Portland St, London, W1W 7JZ",not available,not available
Farrell & Clark Architects,https://www.yell.com/biz/farrell-and-clark-architects-london-6242596/,Architects,020 7580 9210,"40 Mortimer St, London, W1W 7RQ",not available,not available
Feilden Clegg Bradley Studios,https://www.yell.com/biz/feilden-clegg-bradley-studios-london-10634171/,Architects,020 7323 5737,"20 Tottenham St, London, W1T 4RG",not available,not available
The Works Design Services Ltd,https://www.yell.com/biz/the-works-design-services-ltd-london-10030375/,Draughting Services,07846 492758,"27 Old Gloucester St, London, WC1N 3AX",not available,not available
Lapunne Architecture & Interior Design,https://www.yell.com/biz/lapunne-architecture-and-interior-design-london-7345571/,Architects,020 3916 5360,"10 Fitzroy Square, London, W1T 5HP",5.0,not available
C H & M R P Architects,https://www.yell.com/biz/c-h-and-m-r-p-architects-london-4069326/,Architects,020 7631 5405,"41-42 Foley St, London, W1W 7TS",not available,not available
OLJ Designs Ltd,https://www.yell.com/biz/olj-designs-ltd-london-10008920/,Architects,07707 284125,"26 Great James St, London, WC1N 3ES",not available,not available
Panter Hudspith Architects,https://www.yell.com/biz/panter-hudspith-architects-london-9775835/,Architects,020 7701 0575,"Dean Bradley House, 52, Horseferry Rd, London, SW1P 2AF",not available,not available
Moreno Masey,https://www.yell.com/biz/moreno-masey-london-8435258/,Architects,020 3142 6554,"32 Blackfriars Rd, London, SE1 9PB",not available,not available
Architecture Initiative,https://www.yell.com/biz/architecture-initiative-london-8089023/,Architects,020 3657 7800,"4 John Princes St, London, W1G 0JL",not available,not available
Pick Everard,https://www.yell.com/biz/pick-everard-london-6785504/,Architects,0845 2340884,"1 Quality Court, London, WC2A 1HR",not available,not available
J.T Laidlaw,https://www.yell.com/biz/j-t-laidlaw-london-8913378/,Architects,020 7499 5014,"Apartment 2, 100, Piccadilly, London, W1J 7NJ",not available,not available
John Simpson Architect,https://www.yell.com/biz/john-simpson-architect-london-5941718/,Architects,020 7405 1285,"29 Great James St, London, WC1N 3EY",not available,not available
John Robertson Architects Ltd,https://www.yell.com/biz/john-robertson-architects-ltd-london-6109907/,Architects,020 7633 5100,"111 Southwark St, London, SE1 0JF",not available,not available
ALEZ Architecture & Interiors,https://www.yell.com/biz/alez-architecture-and-interiors-london-9000647/,Architects,020 8798 3916,"85 Great Portland St, London, W1W 7LT",not available,not available
Morrow & Lorraine Ltd,https://www.yell.com/biz/morrow-and-lorraine-ltd-london-6482767/,Architects,020 7580 8813,"27 Margaret St, London, W1W 8RY",not available,not available
Urban Reef,https://www.yell.com/biz/urban-reef-london-7851513/,Architects,020 7079 2748,"14 Little Portland St, London, W1W 8BN",not available,not available
Space Agency Design Ltd,https://www.yell.com/biz/space-agency-design-ltd-london-8746176/,Architects,020 7404 7968,"Greenworks Global Princeton St, London, WC1R 4BH",not available,not available
Adam Richards Architects,https://www.yell.com/biz/adam-richards-architects-london-4127464/,Architects,020 7613 5077,"1 Chapel Place, London, EC2A 3DQ",not available,not available
Robert Page & Associates,https://www.yell.com/biz/robert-page-and-associates-london-6772684/,Architects,020 7993 9045,"56 Grosvenor St, London, W1K 3HZ",not available,not available
Stride Treglown Ltd,https://www.yell.com/biz/stride-treglown-ltd-london-4860134/,Architects,020 7401 0700,"3 Cosser St, London, SE1 7BU",not available,not available
Nagan Johnson,https://www.yell.com/biz/nagan-johnson-london-2354017/,Architects,020 7633 0200,"2 Pontypool Place, London, SE1 8QF",not available,not available
Collado Collins Architects,https://www.yell.com/biz/collado-collins-architects-london-4374020/,Architects,020 7580 3490,"17-19 Foley St, London, W1W 6DW",not available,not available
HASA Architects,https://www.yell.com/biz/hasa-architects-london-8134475/,Architects,020 7112 9069,"Imex House, 42, Theobalds Rd, London, WC1X 8NW",not available,not available
Orbit Architects,https://www.yell.com/biz/orbit-architects-london-4469250/,Architects,020 7593 3380,"83 Blackfriars Rd, London, SE1 8HA",not available,not available
Russell Taylor Architects,https://www.yell.com/biz/russell-taylor-architects-london-8551725/,Architects,020 7261 1984,"85 Blackfriars Rd, London, SE1 8HA",not available,not available
Adam Architecture,https://www.yell.com/biz/adam-architecture-london-5332051/,Architects,020 7841 0140,"6 Queen Square, London, WC1N 3AT",not available,not available
Urban Projects Bureau Ltd,https://www.yell.com/biz/urban-projects-bureau-ltd-london-8558971/,Architects,020 3581 7370,"Malvern House, 15-16, Nassau St, London, W1W 7AB",not available,not available
Woollard Smith & Associates Ltd,https://www.yell.com/biz/woollard-smith-and-associates-ltd-london-521025/,Architects,020 7928 1507,"21 Pearman St, London, SE1 7RB",not available,not available
